,Artist,url_songs
0,Drake,https://kworb.net/spotify/artist/3TVXtAsR1Inumwj472S9r4_songs.html
1,Taylor Swift,https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_songs.html
2,Bad Bunny,https://kworb.net/spotify/artist/4q3ewBCX7sLwd24euuV69X_songs.html
3,The Weeknd,https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_songs.html
4,Ed Sheeran,https://kworb.net/spotify/artist/6eUKZXaKkcviH0Ku9w2n3V_songs.html
5,Justin Bieber,https://kworb.net/spotify/artist/1uNFoZAHBGtllmzznpCI3s_songs.html
6,Eminem,https://kworb.net/spotify/artist/7dGJo4pcD2V6oG8kP0tJRR_songs.html
7,Ariana Grande,https://kworb.net/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_songs.html
8,Travis Scott,https://kworb.net/spotify/artist/0Y5tJX1MQlPlqiwlOH1tJY_songs.html
9,Kanye West,https://kworb.net/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_songs.html
10,Post Malone,https://kworb.net/spotify/artist/246dkjvS1zLTtiykXe5h60_songs.html
11,Rihanna,https://kworb.net/spotify/artist/5pKCCKE2ajJHZ9KAiaK11H_songs.html
12,J Balvin,https://kworb.net/spotify/artist/1vyhD5VmyZ7KMfW5gqLgo5_songs.html
13,BTS,https://kworb.net/spotify/artist/3Nrfpe0tUJi4K4DXYWgMUX_songs.html
14,Future,https://kworb.net/spotify/artist/1RyvyyTE3xzB2ZywiAwp0i_songs.html
15,Billie Eilish,https://kworb.net/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_songs.html
16,Kendrick Lamar,https://kworb.net/spotify/artist/2YZyLoL8N0Wb9xBt1NhZWg_songs.html
17,Ozuna,https://kworb.net/spotify/artist/1i8SpTcr7yvPOmcqrbnVXY_songs.html
18,Juice WRLD,https://kworb.net/spotify/artist/4MCBfE4596Uoi2O4DtmEMz_songs.html
19,Nicki Minaj,https://kworb.net/spotify/artist/0hCNtLu0JehylgoiP8L4Gh_songs.html
20,Bruno Mars,https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_songs.html
21,Imagine Dragons,https://kworb.net/spotify/artist/53XhwfbYqKCa1cC15pYq2q_songs.html
22,Coldplay,https://kworb.net/spotify/artist/4gzpq5DPGxSnKTe4SA8HAU_songs.html
23,Chris Brown,https://kworb.net/spotify/artist/7bXgB6jMjp9ATFy66eO08Z_songs.html
24,XXXTENTACION,https://kworb.net/spotify/artist/15UsOTVnJzReFVN1VCnxy4_songs.html
25,Dua Lipa,https://kworb.net/spotify/artist/6M2wZ9GZgrQXHCFfjv46we_songs.html
26,Daddy Yankee,https://kworb.net/spotify/artist/4VMYDCV2IEDYJArk749S6m_songs.html
27,21 Savage,https://kworb.net/spotify/artist/1URnnhqYAYcrqrcwql10ft_songs.html
28,Khalid,https://kworb.net/spotify/artist/6LuN9FCkKOj5PcnpouEgny_songs.html
29,David Guetta,https://kworb.net/spotify/artist/1Cs0zKBU1kc0i8ypK3B9ai_songs.html
30,Lil Wayne,https://kworb.net/spotify/artist/55Aa2cqylxrFIXC767Z865_songs.html
31,Anuel AA,https://kworb.net/spotify/artist/2R21vXR83lH98kGeO99Y66_songs.html
32,Lana Del Rey,https://kworb.net/spotify/artist/00FQb4jTyendYWaN8pK0wa_songs.html
33,Lil Baby,https://kworb.net/spotify/artist/5f7VJjfbwm532GiveGC0ZK_songs.html
34,Maroon 5,https://kworb.net/spotify/artist/04gDigrS5kc9YWfZHwBETP_songs.html
35,Beyoncé,https://kworb.net/spotify/artist/6vWDO969PvNqNYHIOW5v0m_songs.html
36,Rauw Alejandro,https://kworb.net/spotify/artist/1mcTU81TzQhprhouKaTkpq_songs.html
37,Maluma,https://kworb.net/spotify/artist/1r4hJ1h58CWwUQe3MxPuau_songs.html
38,Lil Uzi Vert,https://kworb.net/spotify/artist/4O15NlyKLIASxsJ0PrXPfz_songs.html
39,Calvin Harris,https://kworb.net/spotify/artist/7CajNmpbOovFoOoasH2HaY_songs.html
40,J. Cole,https://kworb.net/spotify/artist/6l3HvQ5sa6mXTsMTB19rO5_songs.html
41,KAROL G,https://kworb.net/spotify/artist/790FomKkXshlbRYZFtlgla_songs.html
42,Sia,https://kworb.net/spotify/artist/5WUlDfRSoLAfcVSX1WnrxN_songs.html
43,Young Thug,https://kworb.net/spotify/artist/50co4Is1HCEo8bhOyUWKpn_songs.html
44,Shawn Mendes,https://kworb.net/spotify/artist/7n2wHs1TKAczGzO7Dd2rGr_songs.html
45,SZA,https://kworb.net/spotify/artist/7tYKF4w9nC0nq9CsPZTHyP_songs.html
46,Sam Smith,https://kworb.net/spotify/artist/2wY79sveU1sp5g7SokKOiI_songs.html
47,Myke Towers,https://kworb.net/spotify/artist/7iK8PXO48WeuP03g8YR51W_songs.html
48,Farruko,https://kworb.net/spotify/artist/329e4yvIujISKGKz1BZZbO_songs.html
49,Queen,https://kworb.net/spotify/artist/1dfeR4HaWDbWqFHLkxsg1d_songs.html
50,Doja Cat,https://kworb.net/spotify/artist/5cj0lLjcoR7YOSnhnX0Po5_songs.html
51,Feid,https://kworb.net/spotify/artist/2LRoIwlKmHjgvigdNGBHNo_songs.html
52,Harry Styles,https://kworb.net/spotify/artist/6KImCVD70vtIoJWnq6nGn3_songs.html
53,Lady Gaga,https://kworb.net/spotify/artist/1HY2Jd0NmPuamShAr6KMms_songs.html
54,One Direction,https://kworb.net/spotify/artist/4AK6F7OLvEQ5QYCBNiQWHq_songs.html
55,Adele,https://kworb.net/spotify/artist/4dpARuHxo51G3z768sgnrY_songs.html
56,Selena Gomez,https://kworb.net/spotify/artist/0C8ZW7ezQVs4URX5aX7Kqx_songs.html
57,Ty Dolla $ign,https://kworb.net/spotify/artist/7c0XG5cIJTrrAgEC3ULPiq_songs.html
58,Shakira,https://kworb.net/spotify/artist/0EmeFodog0BfCgMzAIvKQp_songs.html
59,Halsey,https://kworb.net/spotify/artist/26VFTg2z8YR0cCuwLzESi2_songs.html
60,Nicky Jam,https://kworb.net/spotify/artist/1SupJlEpv7RS2tPNRaHViT_songs.html
61,Metro Boomin,https://kworb.net/spotify/artist/0iEtIxbK0KxaSlF7G42ZOp_songs.html
62,Arijit Singh,https://kworb.net/spotify/artist/4YRxDV8wJFPHPTeXepOstw_songs.html
63,Katy Perry,https://kworb.net/spotify/artist/6jJ0s89eD6GaHleKKya26X_songs.html
64,Linkin Park,https://kworb.net/spotify/artist/6XyY86QOPPrYVGvF9ch6wz_songs.html
65,Gunna,https://kworb.net/spotify/artist/2hlmm7s2ICUX0LVIhVFlZQ_songs.html
66,The Beatles,https://kworb.net/spotify/artist/3WrFJ7ztbogyGnTHbHJFl2_songs.html
67,Wiz Khalifa,https://kworb.net/spotify/artist/137W8MRPWKqSmrBGDBFSop_songs.html
68,The Chainsmokers,https://kworb.net/spotify/artist/69GGBxA162lTqCwzJG5jLp_songs.html
69,Marshmello,https://kworb.net/spotify/artist/64KEffDW9EtZ1y2vBYgq8T_songs.html
70,Arctic Monkeys,https://kworb.net/spotify/artist/7Ln80lUS6He07XvHI8qqHH_songs.html
71,Cardi B,https://kworb.net/spotify/artist/4kYSro6naA4h99UJvo89HB_songs.html
72,Miley Cyrus,https://kworb.net/spotify/artist/5YGY8feqx7naU7z4HrwZM6_songs.html
73,Olivia Rodrigo,https://kworb.net/spotify/artist/1McMsnEElThX1knmY4oliG_songs.html
74,JAY-Z,https://kworb.net/spotify/artist/3nFkdlSjzX9mRTtwJOzDYB_songs.html
75,Camila Cabello,https://kworb.net/spotify/artist/4nDoRrQiYLoBzwC5BhVJzF_songs.html
76,Morgan Wallen,https://kworb.net/spotify/artist/4oUHIQIBe0LHzYfvXNW4QM_songs.html
77,A$AP Rocky,https://kworb.net/spotify/artist/13ubrt8QOOCPljQ2FL1Kca_songs.html
78,Pitbull,https://kworb.net/spotify/artist/0TnOYISbd1XYRBk9myaseg_songs.html
79,DaBaby,https://kworb.net/spotify/artist/4r63FhuTkUYltbVAg5TQnk_songs.html
80,Avicii,https://kworb.net/spotify/artist/1vCWHaC5f2uS3yhpwWbIA6_songs.html
81,Peso Pluma,https://kworb.net/spotify/artist/12GqGscKJx3aE4t07u7eVZ_songs.html
82,Frank Ocean,https://kworb.net/spotify/artist/2h93pZq0e7k5yf4dywlkpM_songs.html
83,Twenty One Pilots,https://kworb.net/spotify/artist/3YQKmKGau1PzlVlkL1iodx_songs.html
84,Kygo,https://kworb.net/spotify/artist/23fqKkggKUBHNkbKtXEls4_songs.html
85,Quavo,https://kworb.net/spotify/artist/0VRj0yCOv2FXJNP47XQnx5_songs.html
86,"Tyler, The Creator",https://kworb.net/spotify/artist/4V8LLVI7PbaPR0K2TGSxFF_songs.html
87,Sech,https://kworb.net/spotify/artist/77ziqFxp5gaInVrF2lj4ht_songs.html
88,OneRepublic,https://kworb.net/spotify/artist/5Pwc4xIPtQLFEnJriah9YJ_songs.html
89,Red Hot Chili Peppers,https://kworb.net/spotify/artist/0L8ExT028jH3ddEcZwqJJ5_songs.html
90,Snoop Dogg,https://kworb.net/spotify/artist/7hJcb9fa4alzcOq3EaNPoG_songs.html
91,Tyga,https://kworb.net/spotify/artist/5LHRHt1k9lMyONurDHEdrp_songs.html
92,Trippie Redd,https://kworb.net/spotify/artist/6Xgp2XMz1fhVYe7i6yNAax_songs.html
93,Arcángel,https://kworb.net/spotify/artist/4SsVbpTthjScTS7U2hmr1X_songs.html
94,Michael Jackson,https://kworb.net/spotify/artist/3fMbdgg4jU18AjLCKBhRSm_songs.html
95,$uicideboy$,https://kworb.net/spotify/artist/1VPmR4DJC1PlOtd0IADAO0_songs.html
96,Jason Derulo,https://kworb.net/spotify/artist/07YZf4WDAMNwqr4jfgOZ8y_songs.html
97,Mac Miller,https://kworb.net/spotify/artist/4LLpKhyESsyAXpc4laK94U_songs.html
