,track_name,artist_name
0,one dance,drake
1,god's plan,drake
2,passionfruit,drake
3,work,drake
4,in my feelings,drake
5,hotline bling,drake
6,mia (feat. drake),drake
7,nice for what,drake
8,life is good (feat. drake),drake
9,going bad (feat. drake),drake
10,yes indeed,drake
11,nonstop,drake
12,toosie slide,drake
13,too good,drake
14,no guidance (feat. drake),drake
15,"hold on, we're going home",drake
16,jimmy cooks (feat. 21 savage),drake
17,look alive (feat. drake),drake
18,money in the grave (drake ft. rick ross),drake
19,laugh now cry later (feat. lil durk),drake
20,fake love,drake
21,wait for u (feat. drake & tems),drake
22,fair trade (with travis scott),drake
23,rich flex,drake
24,jumpman,drake
25,"f**kin' problems (feat. drake, 2 chainz & kendrick lamar)",drake
26,love me,drake
27,controlla,drake
28,wants and needs (feat. lil baby),drake
29,walk it talk it,drake
30,chicago freestyle (feat. giveon),drake
31,teenage fever,drake
32,knife talk (with 21 savage ft. project pat),drake
33,popstar (feat. drake),drake
34,headlines,drake
35,best i ever had,drake
36,girls need love (with drake) - remix,drake
37,take care,drake
38,come and see me (feat. drake),drake
39,marvins room,drake
40,forever,drake
41,portland,drake
42,way 2 sexy (with future & young thug),drake
43,only,drake
44,the motto,drake
45,greece (feat. drake),drake
46,poetic justice,drake
47,what's my name?,drake
48,started from the bottom,drake
49,energy,drake
50,drama (feat. drake),drake
51,don’t matter to me (with michael jackson),drake
52,from time,drake
53,0 to 100 / the catch up,drake
54,trophies,drake
55,do not disturb,drake
56,girls want girls (with lil baby),drake
57,idgaf (feat. yeat),drake
58,no stylist (feat. drake),drake
59,odio (feat. drake),drake
60,i'm upset,drake
61,rich baby daddy (feat. sexyy red & sza),drake
62,feel no ways,drake
63,back to back,drake
64,jungle,drake
65,know yourself,drake
66,trust issues,drake
67,what’s next,drake
68,r.i.c.o. (feat. drake),drake
69,legend,drake
70,mob ties,drake
71,signs,drake
72,spin bout u,drake
73,gyalchester,drake
74,meltdown (feat. drake),drake
75,yebba’s heartbreak,drake
76,all me,drake
77,pop style,drake
78,"never recover (lil baby & gunna, drake)",drake
79,first person shooter (feat. j. cole),drake
80,both (feat. drake),drake
81,crew love,drake
82,search & rescue,drake
83,truffle butter,drake
84,finesse,drake
85,p power (feat. drake),drake
86,champagne poetry,drake
87,mr. right now (feat. drake),drake
88,time flies,drake
89,hyfr (hell ya fucking right),drake
90,fire & desire,drake
91,pain 1993 (with playboi carti),drake
92,where ya at (feat. drake),drake
93,moment 4 life,drake
94,childs play,drake
95,still here,drake
96,get it together,drake
97,cruel summer,taylor swift
98,blank space,taylor swift
99,i don’t wanna live forever (fifty shades darker),taylor swift
100,anti-hero,taylor swift
101,lover,taylor swift
102,shake it off,taylor swift
103,cardigan,taylor swift
104,style,taylor swift
105,august,taylor swift
106,don’t blame me,taylor swift
107,look what you made me do,taylor swift
108,delicate,taylor swift
109,wildest dreams,taylor swift
110,you need to calm down,taylor swift
111,love story,taylor swift
112,all too well (10 minute version) (taylor's version) (from the vault),taylor swift
113,willow,taylor swift
114,me! (feat. brendon urie of panic! at the disco),taylor swift
115,i knew you were trouble.,taylor swift
116,enchanted,taylor swift
117,love story (taylor’s version),taylor swift
118,karma,taylor swift
